,unique(response_updated_cluster$localite_final_labels_admin2),localites_visitees_labels,admin2,"unique(subset(df_hh, !is_in(df_hh$localite_final_labels_admin2, popsize_village$VillageAll_admin2))$localite_final_labels_admin2)",Rural vs. Urbain,MP comments,X,Y,UrbanRural,,UrbanRural_final
265,bananganangha-boguila,Bananga,Nangha_Boguila,bananga _ Nangha-Boguila,Rural,,,,,,Rural
266,bokote-alatonangha-boguila,Bokote-Alato,Nangha_Boguila,bokote-alato _ Nangha-Boguila,Rural,,,,,,Rural
267,bedinnangha-boguila,Bedin,Nangha_Boguila,bedin _ Nangha-Boguila,Rural,,,,,,Rural
268,bogone3nangha-boguila,Bogone 3,Nangha_Boguila,bogone3 _ Nangha-Boguila,Rural,,,,,,Rural
269,bonoi2nangha-boguila,Bonoi 2,Nangha_Boguila,bonoi2 _ Nangha-Boguila,Rural,,,,,,Rural
270,bombara-kotanangha-boguila,Bombara-Kota,Nangha_Boguila,bombara-kota _ Nangha-Boguila,Rural,,,,,,Rural
271,boguelanangha-boguila,Boguela,Nangha_Boguila,boguela _ Nangha-Boguila,Rural,,,,,,Rural
272,bogazanangha-boguila,Babaro,Nangha_Boguila,bogaza _ Nangha-Boguila,Rural,,,,,,Rural
273,gbaya2damara,Nguerengou1,Damara,gbaya2 _ Damara,Rural,,,,,,Rural
274,gbadamara,Gba,Damara,gba _ Damara,Rural,,,,,,Rural
275,gbeledamara,Gbele,Damara,gbele _ Damara,Rural,,,,,,Rural
276,gbagodamara,Gbago,Damara,gbago _ Damara,Urban,,,,,,Urban
277,ngoukadamara,Ngouka,Damara,ngouka _ Damara,Urban,,,,,,Urban
278,marabadamara,Pata,Damara,maraba _ Damara,Rural,,,,,,Rural
279,bosseledamara,Bossele,Damara,bossele _ Damara,Rural,,,,,,Rural
280,bakparadamara,Bakpara,Damara,bakpara _ Damara,Rural,,,,,,Rural
281,dongbe1damara,Dongbe 1,Damara,dongbe1 _ Damara,Rural,,,,,,Rural
282,bolitouadamara,Bolitoua,Damara,bolitoua _ Damara,Rural,,,,,,Rural
283,bokonebozoum,BOKONE,Bozoum,bokone _ Bozoum,Urban,,,,,,Urban
284,mid-missionbozoum,Mine mission,Bozoum,mid-mission _ Bozoum,Urban,,,,,,Urban
285,unknown58bozoum,Unkonwn58(kosso),Bozoum,unknown58 _ Bozoum,Rural,,,,,,Rural
286,kpetenebozoum,KPETENE,Bozoum,kpetene _ Bozoum,Urban,,,,,,Urban
287,kare-bee2bozoum,KARE-BEE 2,Bozoum,kare-bee2 _ Bozoum,Urban,,,,,,Urban
288,haybozoum,Ha<ef> 1,Bozoum,hay _ Bozoum,Rural,,,,,,Rural
289,zazabozoum,Zaza,Bozoum,zaza _ Bozoum,Urban,,,,,,Urban
290,tabalebozoum,Tabar<e9> ( tambar<e9>),Bozoum,tabale _ Bozoum,Urban,,,,,,Urban
291,zomberebossemtele,Zombere,Bossemtele,zombere _ Bossemtele,Rural,,,,,,Rural
292,gbanengue2bossemtele,GBANENGUE 2,Bossemtele,gbanengue2 _ Bossemtele,Rural,,,,,,Rural
293,bofforobossemtele,Bofforo,Bossemtele,bofforo _ Bossemtele,Rural,,,,,,Rural
294,bocongobossemtele,Bocongo,Bossemtele,bocongo _ Bossemtele,Rural,,,,,,Rural
295,gbandenguebossemtele,GBANDENGUE,Bossemtele,gbandengue _ Bossemtele,Rural,,,,,,Rural
296,boyali1bossemtele,Boyali 1,Bossemtele,boyali1 _ Bossemtele,Rural,,,,,,Rural
297,ballabossemtele,BALLA,Bossemtele,balla _ Bossemtele,Urban,,,,,,Urban
298,taleypaoua,TALEY,Paoua,taley _ Paoua,Rural,,,,,,Rural
299,platonpaoua,PLATON,Paoua,platon _ Paoua,Urban,,,,,,Urban
300,poubatipaoua,Poubati,Paoua,poubati _ Paoua,Urban,,,,,,Urban
301,betiboinda1paoua,BETIBOINDA 1,Paoua,betiboinda1 _ Paoua,Rural,,,,,,Rural
302,bemaidecitypaoua,BEMAIDE CITY,Paoua,bemaidecity _ Paoua,Urban,,,,,,Urban
303,bedaya1(ndimbaya)paoua,BEDAYA 1 (NDIMBAYA),Paoua,bedaya1(ndimbaya) _ Paoua,Urban,,,,,,Urban
304,beboy1paoua,BEBOY 1,Paoua,beboy1 _ Paoua,Rural,,,,,,Rural
305,bebouzawe1paoua,BEBOUZAWE 1,Paoua,bebouzawe1 _ Paoua,Rural,,,,,,Rural
306,barya(gangnda)paoua,BARYA (GANG NDA),Paoua,barya(gangnda) _ Paoua,Rural,,,,,,Rural
307,acadoppaoua,ACADOP,Paoua,acadop _ Paoua,Urban,,,,,,Urban
308,aerodromepaoua,AERODROME,Paoua,aerodrome _ Paoua,Urban,,,,,,Urban
309,bongo2dekoa,Bongo 2,Dekoa,bongo2 _ Dekoa,Rural,,,,,,Rural
310,gou2dekoa,Gou 2,Dekoa,gou2 _ Dekoa,Rural,,,,,,Rural
311,begoudekoa,Begou,Dekoa,begou _ Dekoa,Rural,,,,,,Rural
312,cotonafdekoa,Cotonaf,Dekoa,cotonaf _ Dekoa,Rural,,,,,,Rural
313,gbegondekoa,Gbegon,Dekoa,gbegon _ Dekoa,Rural,,,,,,Rural
314,boangadekoa,Boanga,Dekoa,boanga _ Dekoa,Rural,,,,,,Rural
315,bongodekoa,Bongo,Dekoa,bongo _ Dekoa,Rural,,,,,,Rural
316,tilodekoa,Tilo,Dekoa,tilo _ Dekoa,Rural,,,,,,Rural
317,bayelakadekoa,Bayelaka,Dekoa,bayelaka _ Dekoa,Rural,,,,,,Rural
318,ngoudongo1dekoa,Ngoudongo 1,Dekoa,ngoudongo1 _ Dekoa,Rural,,,,,,Rural
319,yombamala,Yomba,Mala,yomba _ Mala,Rural,,,,,,Rural
320,assoulemakamala,Assoulemaka,Mala,assoulemaka _ Mala,Rural,,,,,,Rural
321,marbamala,Marba,Mala,marba _ Mala,Rural,,,,,,Rural
322,bilamala,Bila,Mala,bila _ Mala,Rural,,,,,,Rural
323,bokoutemala,Bokoute,Mala,bokoute _ Mala,Urban,,,,,,Urban
324,koumamala,Kouma,Mala,kouma _ Mala,Rural,,,,,,Rural
325,malamala,Mala,Mala,mala _ Mala,Urban,,,,,,Urban
326,bassekoumamala,Basse Kouma,Mala,bassekouma _ Mala,Rural,,,,,,Rural
327,ngourkaba1mala,Ngourkaba 1,Mala,ngourkaba1 _ Mala,Rural,,,,,,Rural
328,briabria,Bria,Bria,bria _ Bria,Urban,,,,,,Urban
329,amameubria,AMAMEU,Bria,amameu _ Bria,Urban,,,,,,Urban
330,galabadjabria,GALABADJA,Bria,galabadja _ Bria,Urban,,,,,,Urban
331,gbadoubria,GBADOU,Bria,gbadou _ Bria,Urban,,,,,,Urban
332,mande3bria,MANDE 3,Bria,mande3 _ Bria,Urban,,,,,,Urban
333,hopitaldebriabria,Hopital de Bria,Bria,hopitaldebria _ Bria,#N/A,,21.991405,6.537415,urban,,Urban
334,eglisecebi1bria,Eglise CEBI 1,Bria,eglisecebi1 _ Bria,#N/A,,21.991405,6.537415,urban,,urban
335,gobolo2bria,GOBOLO 2,Bria,gobolo2 _ Bria,Urban,,,,,,Urban
336,ndomende1bria,NDOMENDE 1,Bria,ndomende1 _ Bria,Urban,,,,,,Urban
337,ngoubibria,Ngoubi,Bria,ngoubi _ Bria,Rural,,,,,,Rural
338,lasimbria,LA SIM,Bria,lasim _ Bria,Urban,,,,,,Urban
339,pk3bria,PK 3,Bria,pk3 _ Bria,#N/A,,,,urban,avec buffer de Matt on peut considerer que pk3 depuis Bria est en urban,urban
340,bornou1bria,BORNOU 2,Bria,bornou1 _ Bria,Urban,,,,,,Urban
341,boungubria,Boungou 1,Bria,boungu _ Bria,#N/A,,21.986,6.7555,rural,,rural
342,ayerokpobria,Ayorokpo_goumbadja,Bria,ayerokpo _ Bria,Rural,,,,,,Rural
343,balangabria,BALANGBA1,Bria,balanga _ Bria,Rural,,,,,,Rural
344,eglisecebi3bria,Eglise CEBI 3,Bria,eglisecebi3 _ Bria,#N/A,,21.991405,6.537415,urban,,urban
345,eglisecatholiquebria,Eglise Catholique,Bria,eglisecatholique _ Bria,#N/A,,21.991405,6.537415,urban,,urban
346,passikibakouma,Passiki,Bakouma,passiki _ Bakouma,Urban,,,,,,Urban
347,legobakouma,Lego,Bakouma,lego _ Bakouma,Rural,,,,,,Rural
348,madiguibakouma,Madigui,Bakouma,madigui _ Bakouma,Rural,,,,,,Rural
349,zimebakouma,Zime,Bakouma,zime _ Bakouma,Rural,,,,,,Rural
350,nguerefarabakouma,Nguerefara,Bakouma,nguerefara _ Bakouma,Urban,,,,,,Urban
351,bakoumabakouma,Bakouma,Bakouma,bakouma _ Bakouma,Urban,,,,,,Urban
352,,,,sitebakouma _ Bakouma,#N/A,,22.781732,5.701929,urban,,urban
353,baliguinibakouma,Balinguini,Bakouma,baliguini _ Bakouma,#N/A,,22.8005,5.3968,rural,,rural
354,fadamabakouma,FADAMA,Bakouma,fadama _ Bakouma,Rural,,,,,,Rural
355,gomokoboali,Gomoko,Boali,gomoko _ Boali,Rural,,,,,,Rural
356,bokaneboali,Bokane,Boali,bokane _ Boali,Rural,,,,,,Rural
357,didangoboali,Didango,Boali,didango _ Boali,Rural,,,,,,Rural
358,gbahaoboali,Gbahao,Boali,gbahao _ Boali,Rural,,,,,,Rural
359,bogaziboali,Bogazi,Boali,bogazi _ Boali,Rural,,,,,,Rural
360,bogoulaboali,Bogoula,Boali,bogoula _ Boali,Rural,,,,,,Rural
361,boganiboali,Bogani,Boali,bogani _ Boali,Rural,,,,,,Rural
362,boaliboali,Boali chute,Boali,boali _ Boali,Urban,,,,,,Urban
363,unknown87bamingui,ADOUMINDOU,Bamingui,unknown87 _ Bamingui,Rural,,,,,,Rural
364,baloubabamingui,Balouba,Bamingui,balouba _ Bamingui,Rural,,,,,,Rural
365,niango2bamingui,Niango 2,Bamingui,niango2 _ Bamingui,Urban,,,,,,Urban
366,niango1bamingui,Niango 1,Bamingui,niango1 _ Bamingui,Rural,,,,,,Rural
367,mbengoubamingui,Mbengou,Bamingui,mbengou _ Bamingui,Rural,,,,,,Rural
368,yambalabamingui,Yambala,Bamingui,yambala _ Bamingui,#N/A,,20.046,7.2308,rural,,rural
369,kotissakobamingui,Kotissako,Bamingui,kotissako _ Bamingui,Rural,,,,,,Rural
370,tedoabaoro,Tedoa,Baoro,tedoa _ Baoro,Rural,,,,,,Rural
371,balembe2baoro,Balembe 2,Baoro,balembe2 _ Baoro,Rural,,,,,,Rural
372,bawibaoro,Bawi,Baoro,bawi _ Baoro,Rural,,,,,,Rural
373,groupementmbormonbaoro,Groupement Mbormon,Baoro,groupementmbormon _ Baoro,Rural,,,,,,Rural
374,yorogbayabaoro,Yoro Gbaya,Baoro,yorogbaya _ Baoro,Urban,,,,,,Urban
375,bayangadidibaoro,Bayanga Didi,Baoro,bayangadidi _ Baoro,Rural,,,,,,Rural
376,patebaoro,Yoro_samba_bougoulou (paat<e9>),Baoro,pate _ Baoro,Rural,,,,,,Rural
377,kpeketombaiki,Kpeketo,Mbaiki,kpeketo _ Mbaiki,Rural,,,,,,Rural
378,belou2mbaiki,Belou,Mbaiki,belou2 _ Mbaiki,Rural,,,,,,Rural
379,mbatambaiki,Socefi 1,Mbaiki,mbata _ Mbaiki,Urban,,,,,,Urban
380,bokomambaiki,Bokoma,Mbaiki,bokoma _ Mbaiki,Rural,,,,,,Rural
381,bagandoumbaiki,Bagandou,Mbaiki,bagandou _ Mbaiki,Urban,,,,,,Urban
382,bongombembaiki,Bongombe 1 ,Mbaiki,bongombe _ Mbaiki,Rural,,,,,,Rural
383,pissambaiki,Sangala 2,Mbaiki,pissa _ Mbaiki,Rural,,,,,,Rural
384,boumoumbaiki,Gbenou,Mbaiki,boumou _ Mbaiki,Rural,,,,,,Rural
385,dujardinmbaiki,Du jardin,Mbaiki,dujardin _ Mbaiki,#N/A,,,,,"absent, Dujardin ecrivain francais 20 siecle, quartier Mbaiki? ",Urban
386,kodje1zangba,Kodje 1,Zangba,kodje1 _ Zangba,Rural,,,,,,Rural
387,gouadje2zangba,Gouadje 2,Zangba,gouadje2 _ Zangba,Rural,,,,,,Rural
388,balidou1zangba,Balidou 1,Zangba,balidou1 _ Zangba,Urban,,,,,,Urban
389,ngapozangba,Ngapo,Zangba,ngapo _ Zangba,Rural,,,,,,Rural
390,mategbazangba,Mategba,Zangba,mategba _ Zangba,Rural,,,,,,Rural
391,kpoulouzangba,Kpoulou,Zangba,kpoulou _ Zangba,Rural,,,,,,Rural
392,gboumazangba,Ngombe Moune,Zangba,gbouma _ Zangba,Rural,,,,,,Rural
393,kodje3zangba,Kodje 3,Zangba,kodje3 _ Zangba,Rural,,,,,,Rural
394,kitessazemio,Kitessa,Zemio,kitessa _ Zemio,Rural,,,,,,Rural
395,tambourazemio,Tamboura,Zemio,tamboura _ Zemio,Rural,,,,,,Rural
396,koumbolizemio,KOUMBOLI,Zemio,koumboli _ Zemio,Rural,,,,,,Rural
397,bandakpazemio,Bandakpa,Zemio,bandakpa _ Zemio,Urban,,,,,,Urban
398,bandassizemio,Bandassi,Zemio,bandassi _ Zemio,Urban,,,,,,Urban
399,gendarmeriezemio,Gendarmerie,Zemio,gendarmerie _ Zemio,#N/A,,25.129423,5.024257,urban,,urban
400,arguezemio,ARGUE,Zemio,argue _ Zemio,#N/A,,25.129423,5.024257,urban,,urban
401,zemiozemio,Mahamat,Zemio,zemio _ Zemio,Urban,,,,,,Urban
402,zibobaggabatangafo,Site Zino baggae,Batangafo,zibobagga _ Batangafo,#N/A,,18.285135,7.300987,urban,,urban
403,maisondesjeunesbatangafo,Site Maison des jeunes,Batangafo,maisondesjeunes _ Batangafo,#N/A,,18.285135,7.300987,urban,,urban
404,ndouboubatangafo,Ndoubou,Batangafo,ndoubou _ Batangafo,#N/A,,18.3209,7.3141,rural,,rural
405,batangafobatangafo,Cit<e9> aerodrome,Batangafo,batangafo _ Batangafo,Urban,,,,,,Urban
406,gbazarabatangafo,Gbazara,Batangafo,gbazara _ Batangafo,Rural,,,,,,Rural
407,botongobatangafo,Bofondo,Batangafo,botongo _ Batangafo,Rural,,,,,,Rural
408,bobazibatangafo,Bobazi,Batangafo,bobazi _ Batangafo,Rural,,,,,,Rural
409,bogbafiobatangafo,Bogbofio,Batangafo,bogbafio _ Batangafo,Urban,,,,,,Urban
410,bolhom1batangafo,Bolhom1,Batangafo,bolhom1 _ Batangafo,Rural,,,,,,Rural
411,bodeabatangafo,Bodea,Batangafo,bodea _ Batangafo,Rural,,,,,,Rural
412,gbadenebatangafo,Gbadene,Batangafo,gbadene _ Batangafo,#N/A,,18.338992,7.151558,rural,,rural
413,yalokeyaloke,Yaloke,Yaloke,yaloke _ Yaloke,Urban,,,,,,Urban
414,bohoyaloke,Boho,Yaloke,boho _ Yaloke,Rural,,,,,,Rural
415,gagayaloke,Gaga,Yaloke,gaga _ Yaloke,Rural,,,,,,Rural
416,bongbalo1yaloke,Bongbalo 1,Yaloke,bongbalo1 _ Yaloke,Rural,,,,,,Rural
417,bokede1yaloke,Bokede 1,Yaloke,bokede1 _ Yaloke,Rural,,,,,,Rural
418,bossemboubouyaloke,Bossemboubou,Yaloke,bossemboubou _ Yaloke,Rural,,,,,,Rural
419,badangafouyaloke,Badangafou,Yaloke,badangafou _ Yaloke,Rural,,,,,,Rural
420,bongbarayaloke,Bobara2,Yaloke,bongbara _ Yaloke,Rural,,,,,,Rural
421,bogalibossembele,Bogali,Bossembele,bogali _ Bossembele,Rural,,,,,,Rural
422,ndjobossembele,Ndjo,Bossembele,ndjo _ Bossembele,Rural,,,,,,Rural
423,bossogbien1bossembele,Bossogbien1,Bossembele,bossogbien1 _ Bossembele,Rural,,,,,,Rural
424,bondio2bossembele,Bodjo2,Bossembele,bondio2 _ Bossembele,Rural,,,,,,Rural
425,bossembelebossembele,Bossembele,Bossembele,bossembele _ Bossembele,Urban,,,,,,Urban
426,bogbalokobossembele,Bogbaloko,Bossembele,bogbaloko _ Bossembele,Rural,,,,,,Rural
427,bodoukpa2bossembele,Bodoukpa 2,Bossembele,bodoukpa2 _ Bossembele,Rural,,,,,,Rural
428,bogoin1bossembele,Bogoein1,Bossembele,bogoin1 _ Bossembele,Rural,,,,,,Rural
429,djembecarnot,Djembe,Carnot,djembe _ Carnot,Urban,,,,,,Urban
430,carnotcarnot,Carnot,Carnot,carnot _ Carnot,Urban,,,,,,Urban
431,ngbabokocarnot,Ngbaboko,Carnot,ngbaboko _ Carnot,Rural,,,,,,Rural
432,ngogbaracarnot,Ngoubara,Carnot,ngogbara _ Carnot,Rural,,,,,,Rural
433,ganlicarnot,Ganli,Carnot,ganli _ Carnot,Rural,,,,,,Rural
434,beyelecarnot,Beyele,Carnot,beyele _ Carnot,Rural,,,,,,Rural
435,kpokolitacarnot,KPOKOLITA PK5,Carnot,kpokolita _ Carnot,#N/A,,15.91332,4.96084,rural,GPS from RRM,rural
436,degbe-mainacarnot,Degbe Ma<ef>na,Carnot,degbe-maina _ Carnot,Rural,,,,,,Rural
437,meyecarnot,MEYE,Carnot,meye _ Carnot,#N/A,,15.8685,4.94,urban,quartier carnot,urban
438,mbainagadzi,Mbaina,Gadzi,mbaina _ Gadzi,Rural,,,,,,Rural
439,mayakagadzi,Mayaka,Gadzi,mayaka _ Gadzi,Urban,,,,,,Urban
440,bakalagadzi,Bakara,Gadzi,bakala _ Gadzi,Rural,,,,,,Rural
441,gadzigadzi,Gadzi,Gadzi,gadzi _ Gadzi,Rural,,,,,,Rural
442,guengadzi,Guen,Gadzi,guen _ Gadzi,Urban,,,,,,Urban
443,ngabouagadzi,Ngaboua,Gadzi,ngaboua _ Gadzi,Rural,,,,,,Rural
444,ndinguirigadzi,Ndinguiri,Gadzi,ndinguiri _ Gadzi,Urban,,,,,,Urban
445,nangokogamboula,Nangoko,Gamboula,nangoko _ Gamboula,Urban,,,,,,Urban
446,dongogamboula,Dongo,Gamboula,dongo _ Gamboula,Rural,,,,,,Rural
447,moussa-ngoegamboula,Moussa 2,Gamboula,moussa-ngoe _ Gamboula,Rural,,,,,,Rural
448,korandogamboula,Korando,Gamboula,korando _ Gamboula,Rural,,,,,,Rural
449,doubangagamboula,NDOUBANGA,Gamboula,doubanga _ Gamboula,Rural,,,,,,Rural
450,nabimongamboula,NABINMON,Gamboula,nabimon _ Gamboula,Rural,,,,,,Rural
451,mambelebambio,Mambele,Bambio,mambele _ Bambio,Urban,,,,,,Urban
452,bounguelebambio,Bounguele,Bambio,bounguele _ Bambio,Rural,,,,,,Rural
453,bangotobambio,Bangoto,Bambio,bangoto _ Bambio,Rural,,,,,,Rural
454,bambiobambio,CENTRE BAMBIO,Bambio,bambio _ Bambio,#N/A,,17.0029,3.9252,urban,,urban
455,batondeboganda,Batonde,Boganda,batonde _ Boganda,Rural,,,,,,Rural
456,bodjoulaboganda,Bodjoula,Boganda,bodjoula _ Boganda,Rural,,,,,,Rural
457,boganadoboganda,Boganado,Boganda,boganado _ Boganda,Rural,,,,,,Rural
458,sanyeleboganda,Sanyele,Boganda,sanyele _ Boganda,Rural,,,,,,Rural
459,yawaboganda,Yawa,Boganda,yawa _ Boganda,Rural,,,,,,Rural
460,boyoboganda,Boyo,Boganda,boyo _ Boganda,Rural,,,,,,Rural
461,babiliboganda,Babili,Boganda,babili _ Boganda,Rural,,,,,,Rural
462,bidou1kembe,Bidou 1,Kembe,bidou1 _ Kembe,Rural,,,,,,Rural
463,goualakembe, Ngouala 2,Kembe,gouala _ Kembe,Rural,,,,,,Rural
464,gbama3kembe,Gbama 3,Kembe,gbama3 _ Kembe,Rural,,,,,,Rural
465,bidou2kembe,Bidou 2,Kembe,bidou2 _ Kembe,Rural,,,,,,Rural
466,kembekembe,Kembe,Kembe,kembe _ Kembe,Urban,,,,,,Urban
467,benguerekembe,Benguere,Kembe,benguere _ Kembe,Rural,,,,,,Rural
468,ngaliakembe,NGALIA,Kembe,ngalia _ Kembe,Rural,,,,,,Rural
469,satemasatema,Satema centre,Satema,satema _ Satema,#N/A,,21.6837,4.3064,urban,,urban
470,bandasatema,Banda,Satema,banda _ Satema,Rural,,,,,,Rural
471,ngbando1satema,Ngbando 1,Satema,ngbando1 _ Satema,Rural,,,,,,Rural
472,boungba1satema,Boungba 1,Satema,boungba1 _ Satema,Rural,,,,,,Rural
473,deousatema,Deou,Satema,deou _ Satema,Rural,,,,,,Rural
474,bobetemarkounda,Bobete,Markounda,bobete _ Markounda,Rural,,,,,,Rural
475,bazolimarkounda,Bazoli,Markounda,bazoli _ Markounda,Rural,,,,,,Rural
476,boukoyomarkounda,Boukoyo,Markounda,boukoyo _ Markounda,Rural,,,,,,Rural
477,bodjomomarkounda,Bodjomo,Markounda,bodjomo _ Markounda,Urban,,,,,,Urban
478,beferanmarkounda,Beferan,Markounda,beferan _ Markounda,Rural,,,,,,Rural
479,boulomarkounda,Boulo,Markounda,boulo _ Markounda,Rural,,,,,,Rural
480,birangamarkounda,Biranga,Markounda,biranga _ Markounda,Rural,,,,,,Rural
481,bogalemarkounda,Bogale,Markounda,bogale _ Markounda,Rural,,,,,,Rural
482,bakabamarkounda,Bakaba,Markounda,bakaba _ Markounda,Rural,,,,,,Rural
483,ikoumbamongoumba,Ikoumba,Mongoumba,ikoumba _ Mongoumba,Rural,,,,,,Rural
484,bomolotomongoumba,Bomoloto,Mongoumba,bomoloto _ Mongoumba,Rural,,,,,,Rural
485,ivoromongoumba,Iwoko bassin,Mongoumba,ivoro _ Mongoumba,Rural,,,,,,Rural
486,bossarangbamongoumba,Bossarangba,Mongoumba,bossarangba _ Mongoumba,Rural,,,,,,Rural
487,ambauchuremongoumba,Ambauchure,Mongoumba,ambauchure _ Mongoumba,Rural,,,,,,Rural
488,mongomongoumba,Mongo,Mongoumba,mongo _ Mongoumba,Rural,,,,,,Rural
489,ngopamamongoumba,Ngopama,Mongoumba,ngopama _ Mongoumba,Rural,,,,,,Rural
490,batalimomongoumba,Bobelet,Mongoumba,batalimo _ Mongoumba,Urban,,,,,,Urban
491,bac-lobemongoumba,Bac-Lobe,Mongoumba,bac-lobe _ Mongoumba,Rural,,,,,,Rural
492,ambangdede-mokouba,Ambang,Dede_Mokouba,ambang _ Dede-Mokouba,Urban,,,,,,Urban
493,bagoudoudede-mokouba,Bagoudou,Dede_Mokouba,bagoudou _ Dede-Mokouba,Rural,,,,,,Rural
494,dedemakoubadede-mokouba,Dede Makouba,Dede_Mokouba,dedemakouba _ Dede-Mokouba,Rural,,,,,,Rural
495,mbikodede-mokouba,Mbiko,Dede_Mokouba,mbiko _ Dede-Mokouba,Rural,,,,,,Rural
496,kambayekedede-mokouba,Kambayeke,Dede_Mokouba,kambayeke _ Dede-Mokouba,Rural,,,,,,Rural
497,doridede-mokouba,Dori,Dede_Mokouba,dori _ Dede-Mokouba,Rural,,,,,,Rural
498,binoumbidede-mokouba,Binoumbi,Dede_Mokouba,binoumbi _ Dede-Mokouba,Rural,,,,,,Rural
499,bekodede-mokouba,Beko,Dede_Mokouba,beko _ Dede-Mokouba,Rural,,,,,,Rural
500,sosso-nakombososso-nakombo,Sosso-Nakombo,Sosso_Nakombo,sosso-nakombo _ Sosso-Nakombo,Urban,,,,,,Urban
501,nzembesosso-nakombo,Nzembe,Sosso_Nakombo,nzembe _ Sosso-Nakombo,Rural,,,,,,Rural
502,wambilososso-nakombo,Wambilo,Sosso_Nakombo,wambilo _ Sosso-Nakombo,Rural,,,,,,Rural
503,bena-doemososso-nakombo,Be<ef>na-Doemo,Sosso_Nakombo,beâ´na-doemo _ Sosso-Nakombo,Rural,,,,,,Rural
504,ngandiososso-nakombo,Ngandio,Sosso_Nakombo,ngandio _ Sosso-Nakombo,Rural,,,,,,Rural
505,koumbanola,Koumba,Nola,koumba _ Nola,Rural,,,,,,Rural
506,bidjonola,Bidjo,Nola,bidjo _ Nola,Rural,,,,,,Rural
507,baminanola,Bamina,Nola,bamina _ Nola,Rural,,,,,,Rural
508,nalimonola,Nalimo,Nola,nalimo _ Nola,Rural,,,,,,Rural
509,bakobonola,Bakobo,Nola,bakobo _ Nola,Rural,,,,,,Rural
510,beyanola,Beya,Nola,beya _ Nola,Rural,,,,,,Rural
511,belembokenola,Belemboke,Nola,belemboke _ Nola,Rural,,,,,,Rural
512,belemboke4nola,Belemboke 4,Nola,belemboke4 _ Nola,Rural,,,,,,Rural
513,domalenola,Domale,Nola,domale _ Nola,Rural,,,,,,Rural
514,koropekeboganangone,Koropeke,Boganangone,koropeke _ Boganangone,Rural,,,,,,Rural
515,bologuiboganangone,Bologui,Boganangone,bologui _ Boganangone,Rural,,,,,,Rural
516,bekagomiboganangone,Bekagomi,Boganangone,bekagomi _ Boganangone,Rural,,,,,,Rural
517,zackaboganangone,Zacka,Boganangone,zacka _ Boganangone,Rural,,,,,,Rural
518,bogotoboganangone,Bogoto,Boganangone,bogoto _ Boganangone,Rural,,,,,,Rural
519,boganangoneboganangone,Boganangone,Boganangone,boganangone _ Boganangone,Rural,,,,,,Rural
520,bekagbassemboganangone,Bekagbassem,Boganangone,bekagbassem _ Boganangone,Rural,,,,,,Rural
521,bogueraboganangone,Boguera,Boganangone,boguera _ Boganangone,Urban,,,,,,Urban
522,bodaboda,Boda,Boda,boda _ Boda,Urban,,,,,,Urban
523,poutemboda,Poutem,Boda,poutem _ Boda,Rural,,,,,,Rural
524,bagouaboda,Bagoua,Boda,bagoua _ Boda,Rural,,,,,,Rural
525,samandoroboda,Bomandoro,Boda,samandoro _ Boda,Rural,,,,,,Rural
526,bataliboda,Batali,Boda,batali _ Boda,Rural,,,,,,Rural
527,bombaleboda,Bombale,Boda,bombale _ Boda,Rural,,,,,,Rural
528,keli1boda,Kel<e9> 2,Boda,keli1 _ Boda,Rural,,,,,,Rural
529,ngottoboda,Ngotto,Boda,ngotto _ Boda,Urban,,,,,,Urban
530,unknown20boda,Le village s'appelle Bodjoula,Boda,unknown20 _ Boda,Rural,,,,,,Rural
531,bombo1amada-gaza,Bombo 1,Amada_Gaza,bombo1 _ Amada-Gaza,Rural,,,,,,Rural
532,gbambiaamada-gaza,Gbambia,Amada_Gaza,gbambia _ Amada-Gaza,Rural,,,,,,Rural
533,amada-gazaamada-gaza,Amada-Gaza,Amada_Gaza,amada-gaza _ Amada-Gaza,Urban,,,,,,Urban
534,bobayokoamada-gaza,Bobayoko,Amada_Gaza,bobayoko _ Amada-Gaza,Rural,,,,,,Rural
535,ngabongoamada-gaza,Ngabongo,Amada_Gaza,ngabongo _ Amada-Gaza,Rural,,,,,,Rural
536,monassaobayanga,Monassao,Bayanga,monassao _ Bayanga,Rural,,,,,,Rural
537,babongobayanga,Babongo,Bayanga,babongo _ Bayanga,Rural,,,,,,Rural
538,bayangabayanga,Bomitaba2,Bayanga,bayanga _ Bayanga,Urban,,,,,,Urban
539,bomandjoukoubayanga,Bomandjoukou,Bayanga,bomandjoukou _ Bayanga,Urban,,,,,,Urban
540,lidjombobayanga,Lidjombo,Bayanga,lidjombo _ Bayanga,Rural,,,,,,Rural
541,boganli1bogangolo,Boganli 1,Bogangolo,boganli1 _ Bogangolo,Rural,,,,,,Rural
542,bobanbogangolo,Boban,Bogangolo,boban _ Bogangolo,Rural,,,,,,Rural
543,bogangolobogangolo,Bogangolo,Bogangolo,bogangolo _ Bogangolo,Rural,,,,,,Rural
544,gbanlibogangolo,Gbanli,Bogangolo,gbanli _ Bogangolo,Rural,,,,,,Rural
545,bobinguibogangolo,Bobingui,Bogangolo,bobingui _ Bogangolo,Rural,,,,,,Rural
546,bodouabogangolo,Bodoua,Bogangolo,bodoua _ Bogangolo,Rural,,,,,,Rural
,bogombobogangolo,Bogombo,Bogangolo,bogombo _ Bogangolo,Rural,,,,,,Rural
